tag_id,subloc_sequence,loc_code,detection_counts,dwell_times
989.001038859365,"[0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A']","[1, 1, 32, 12]","[0.0, 0.0, 400.61, 574.48]"
989.001038859378,"[0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A']","[2, 1, 54, 3]","[43.0, 0.0, 3970.4, 0.0]"
989.001038859385,"[0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A']","[1, 1, 24, 2]","[0.0, 0.0, 1313.87, 0.0]"
989.001038859388,"[0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A']","[1, 1, 156, 36]","[0.0, 0.0, 2682.58, 270.02]"
989.0010388594,"[0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A', '7B', '7A']","[1, 1, 165, 5, 5, 15]","[0.0, 0.0, 2564.88, 0.0, 0.0, 89.99]"
989.001038859418,"[0.0, 1.0, 0.0, 0.0, 1.0]","['7D', '7C', '71', '7B', '7A']","[1, 1, 25, 12, 20]","[0.0, 0.0, 55392.61, 1843.13, 7273.97]"
989.001038859419,"[0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A']","[1, 1, 10, 5]","[0.0, 0.0, 1160.16, 0.0]"
989.00103885942,"[0.0, 1.0, 0.0]","['7D', '7C', '71']","[1, 1, 12]","[0.0, 0.0, 6282926.65]"
989.001038859432,"[1.0, 0.0, 1.0]","['7C', '7B', '7A']","[1, 6, 12]","[0.0, 461.76, 229940.6]"
989.001038859437,"[0.0, 1.0, 0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A', '7B', '7A']","[1, 1, 378, 177, 33, 30]","[0.0, 0.0, 14669.03, 12173.45, 585.45, 3339.98]"
989.001038859455,"[0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A']","[1, 1, 7, 42]","[0.0, 0.0, 0.0, 301.0]"
989.001038859463,"[0.0, 1.0, 0.0, 1.0]","['7D', '7C', '7B', '7A']","[1, 1, 57, 3]","[0.0, 0.0, 2089.0, 0.0]"
989.001038859474,"[0.0, 1.0, 0.0]","['7D', '7C', '71']","[1, 1, 6]","[0.0, 0.0, 0.0]"
989.001038859482,"[0.0, 1.0, 0.0]","['7D', '7C', '71']","[1, 1, 8]","[0.0, 0.0, 2059.79]"
989.001038859483,"[0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0]","['7D', '7C', '71', '7B', '7A', '7B', '7A', '71']","[1, 1, 100, 2, 2, 10, 4, 228]","[0.0, 0.0, 37959.78, 0.0, 0.0, 257.94, 274.2, 12916.21]"
989.001038859491,"[1.0, 0.0, 1.0]","['7C', '7B', '7A']","[1, 44, 44]","[0.0, 649.4, 17020.21]"
989.001038859515,[1.0],['7A'],[11],[0.0]
989.001038859516,"[1.0, 0.0, 1.0]","['7C', '7B', '7A']","[1, 30, 2]","[0.0, 2600.55, 0.0]"
