tag_id,subloc_sequence,detection_counts,dwell_times,similarity_score,similarity(in_days)
989.0010388536,"[0.01, 1.0]","[1, 23]","[0.01, 108751.3]",4728.31749130435,0.0547258968900966
989.001039395123,[1.0],[236],[1111119.41],4708.13309322034,0.0544922811715317
989.001039405805,"[1.0, 1.0, 0.01, 1.0, 0.01]","[63, 24, 8, 4, 4]","[295610.6, 144.23, 0.01, 0.01, 0.01]",4698.24386686508,0.0543778225331606
989.001041739502,"[1.0, 0.01, 1.0]","[4, 4, 12]","[0.01, 0.01, 56357.64]",4696.472525,0.0543573208912037
989.001038887404,[1.0],[27],[126035.9],4667.9962962963,0.0540277349108368
989.00103973163,"[1.0, 0.01, 1.0, 0.01]","[60, 20, 20, 20]","[1696.62, 529.41, 92242.68, 797.85]",4641.07463,0.0537161415509259
989.001038864834,[1.0],[16],[74234.75],4639.671875,0.0536999059606482
989.001041759215,"[0.01, 1.0, 0.01]","[21, 21, 87]","[0.01, 0.01, 40343595.02]",4637.19531083744,0.0536712420235815
989.001039395359,"[1.0, 0.01]","[16, 8]","[73790.81, 0.01]",4611.9256375,0.0533787689525463
989.001042004225,[1.0],[60],[271562.7],4526.045,0.0523847800925926
989.001042000277,[1.0],[16],[72040.68],4502.5425,0.0521127604166667
989.001034044255,"[1.0, 0.01, 1.0, 0.01, 1.0, 0.01]","[72, 5, 1, 1, 1, 1]","[185779.4, 927503.69, 0.01, 0.01, 0.01, 0.01]",4435.29702444445,0.0513344563014403
989.002028425539,"[1.0, 0.01, 1.0, 0.01, 1.0]","[2, 6, 8, 9, 45]","[0.01, 110.96, 33691.66, 0.01, 9646.51]",4426.01433333333,0.0512270177469136
989.001039401488,"[0.01, 1.0, 1.0, 1.0, 0.01]","[2, 2, 18, 112, 232]","[0.01, 0.01, 79107.78, 796.34, 17591.9]",4402.75016678982,0.0509577565600673
989.001041746428,"[1.0, 0.01, 1.0, 0.01, 1.0, 0.01]","[5, 10, 49, 4, 4, 4]","[0.01, 59486.37, 212336.32, 0.01, 0.01, 0.01]",4392.88520571429,0.0508435787698413
989.001039395717,"[1.0, 0.01, 1.0, 0.01, 1.0]","[16, 16, 8, 8, 120]","[214.79, 885.6, 0.01, 0.01, 524788.3]",4387.21497083333,0.0507779510513117
989.001041757798,"[0.01, 1.0, 0.01, 1.0, 0.01, 1.0]","[21, 8, 4, 20, 4, 4]","[0.01, 419.33, 0.01, 85517.36, 0.01, 0.01]",4328.2868047619,0.0500959120921517
